Action,Custom label (SKU),Category ID,Title,Relationship,Relationship details,Start price,Quantity,Condition ID,Description,Format,Duration,Item photo URL,PostalCode,Country,Currency,SiteID,C:ShippingPolicy,C:PaymentPolicy,C:ReturnPolicy,Brand,P:UPC
Add,Hummingbird and Flower,1188,"Hummingbird and Flower Automaton, Hand Cranked Mechanism",,Assembly=Kit;Assembled,,,1000,<p>This is the physical kit.  Please see my other listings for the digital plans for this design.</p><p>Turn the crank handle to watch the hummingbird flap its wings and lower its tail as it dips in and out of the flower.</p><p>This design uses a unique mechanism in the wings to give the hummingbird its elegant figure of eight flapping motion.</p><p>You will receive all of the parts plus detailed pdf assembly instructions.</p>,FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/b40a27/7905899944/il_fullxfull.7905899944_exsm.jpg|https://i.etsystatic.com/25031074/r/il/788ba3/7905899958/il_fullxfull.7905899958_rfc7.jpg|https://i.etsystatic.com/25031074/r/il/548367/7953854471/il_fullxfull.7953854471_kuj9.jpg|https://i.etsystatic.com/25031074/r/il/70bbef/7905899970/il_fullxfull.7905899970_1dcm.jpg|https://i.etsystatic.com/25031074/r/il/3df0d8/7953854465/il_fullxfull.7953854465_st1e.jpg|https://i.etsystatic.com/25031074/r/il/524214/7953854475/il_fullxfull.7953854475_4lf8.jpg|https://i.etsystatic.com/25031074/r/il/330014/7953854485/il_fullxfull.7953854485_kk1f.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,
,Hummingbird and Flower / kit,,,Variation,Assembly=Kit,50.00,3,,,,,,,,,,,,,,Does not apply
,Hummingbird and Flower / assembled,,,Variation,Assembly=Assembled,70.00,0,,,,,,,,,,,,,,Does not apply
Add,Dog and Cat Running,1188,Dog and Cat Running Automata kit,,,49.00,11,1000,<p>This automata kit contains all parts and instructions to build two separate hand cranked moving models. Both a running cat and a running dog. It is a simple but interesting mechanism to watch as the animals leap and bound on your table.</p><p>Parts generally can be pressed together. Any loose parts can be glued.</p><p>Please see my other listings for the digital laser cutter files for this design.</p>,FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/1291ff/5741377892/il_fullxfull.5741377892_mo3z.jpg|https://i.etsystatic.com/25031074/r/il/347a0f/5741377836/il_fullxfull.5741377836_fd5l.jpg|https://i.etsystatic.com/25031074/r/il/116e27/5789451841/il_fullxfull.5789451841_dp7p.jpg|https://i.etsystatic.com/25031074/r/il/64f0f4/5789451843/il_fullxfull.5789451843_o1ks.jpg|https://i.etsystatic.com/25031074/r/il/60e936/5789451857/il_fullxfull.5789451857_ji9n.jpg|https://i.etsystatic.com/25031074/r/il/acb9d8/5789451849/il_fullxfull.5789451849_fp4d.jpg|https://i.etsystatic.com/25031074/r/il/889e75/5789451845/il_fullxfull.5789451845_5pug.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,Does not apply
Add,Writing automaton,1188,"Writing and Drawing automaton, Laser Cut Mechanical Model, Science Kit",,Cam=Custom message;Hello;Love you;Mum;Dad;Happy Bday;Merry Xmas|Assembly=Unassembled Kit;Assembled,,,1000,"<p>Turn the knob and Lanky Doodler will sketch out your encoded message. Write your own message like a loved ones name or pick from one of the premade messages:</p><p>""hello"", ""love you"", ""mum"", ""Dad"", ""happy Bday"", ""merryXmas""</p><p>The sketch is encoded in the rotating cams which control the two arms to accurately position the pencil.</p><p>Use the online app to generate cams for your own sketch. You can then download the profiles to cut yourself or send me the generated txt file and I will laser cut them for you. If you choose the custom cam option at checkout, then you must send me a message either with an explanation of your message/sketch, or the txt file generated from your sketch in the Lanky Doodler web app</p><p>at https://www.contraptioncart.com/lankydoodler</p><p>This item comes as a kit for you to put together in 40 minutes or preassembled with the base taken off for shipping. (Expect one minute to put the base back on)</p><p>The svg and pdf files for this machine are available in a separate listing if you would like to scroll saw or laser cut all of the parts yourself. Fits a standard pencil or felt pen (for a darker sketch).</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/a0833b/7065669237/il_fullxfull.7065669237_72fe.jpg|https://i.etsystatic.com/25031074/r/il/399c2a/7428826811/il_fullxfull.7428826811_61kf.jpg|https://i.etsystatic.com/25031074/r/il/b4ac98/8233333304/il_fullxfull.8233333304_8d31.jpg|https://i.etsystatic.com/25031074/r/il/021b51/7380904322/il_fullxfull.7380904322_swif.jpg|https://i.etsystatic.com/25031074/r/il/3bb6fe/7065669245/il_fullxfull.7065669245_xic2.jpg|https://i.etsystatic.com/25031074/r/il/67264e/7017689444/il_fullxfull.7017689444_p6s9.jpg|https://i.etsystatic.com/25031074/r/il/59fa61/7065669239/il_fullxfull.7065669239_cohu.jpg|https://i.etsystatic.com/25031074/r/il/bd04f7/3919284207/il_fullxfull.3919284207_i7qq.jpg|https://i.etsystatic.com/25031074/r/il/c31249/3877318796/il_fullxfull.3877318796_a0do.jpg|https://i.etsystatic.com/25031074/r/il/d6ee88/3919284137/il_fullxfull.3919284137_k1jt.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,
,Writing automaton / custom-message-unassembled-kit,,,Variation,Cam=Custom message|Assembly=Unassembled Kit,49.00,7,,,,,,,,,,,,,,Does not apply
,Writing automaton / custom-message-assembled,,,Variation,Cam=Custom message|Assembly=Assembled,69.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / hello-unassembled-kit,,,Variation,Cam=Hello|Assembly=Unassembled Kit,49.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / hello-assembled,,,Variation,Cam=Hello|Assembly=Assembled,69.00,0,,,,,,,,,,,,,,Does not apply
,Writing automaton / love-you-unassembled-kit,,,Variation,Cam=Love you|Assembly=Unassembled Kit,49.00,0,,,,,,,,,,,,,,Does not apply
